landlot_address,road_name_address,x,y
경기도 수원시 장안구 조원동 894번지 일호골든타워,"경기도 수원시 장안구 경수대로 940, 일호골든타워 2층 (조원동)",200646.5559,422349.6776
경기도 수원시 팔달구 매산로1가 18번지,경기도 수원시 팔달구 덕영대로 924 (매산로1가),199920.1947,418246.9271
경기도 수원시 영통구 영통동 968번지 동보.신명아파트,"경기도 수원시 영통구 매영로310번길 87, 동보.신명아파트 지하층 101,102,103호 (영통동)",205723.6298,416560.8863
경기도 수원시 영통구 망포동 355번지 12호,"경기도 수원시 영통구 영통로174번길 64, 1층 (망포동)",205178.2407,415701.8841
경기도 수원시 영통구 영통동 954번지 1호,"경기도 수원시 영통구 영통로 513, 1층 (영통동)",206798.9181,418071.1718
경기도 수원시 영통구 매탄동 199-63,"경기도 수원시 영통구 매영로 55, 1층 101호 (매탄동)",204265.154,418552.9261
경기도 수원시팔달구 우만동 518번지 17  호,경기도 수원시 팔달구 월드컵로311번길 12-2 (우만동),202945.2104,420431.6028
경기도 수원시팔달구 매산로1가 41번지 6   호,경기도 수원시 팔달구 매산로 21-11 (매산로1가),200246.3436,418469.5085
경기도 수원시 권선구 금곡동 1113-1,"경기도 수원시 권선구 금곡로197번길 18-20, 수원호매실     동광뷰웰 1층 109호 (금곡동)",195700.3369,419167.0657
경기도 수원시 권선구 권선동 1240번지 현대아파트,"경기도 수원시 권선구 매탄로 11, 상가동 1층 110호 (권선동, 현대아파트)",203184.0657,416820.5968
경기도 수원시 장안구 율전동 287번지 다래원,"경기도 수원시 장안구 서부로 2130, 다래원 지하층 (율전동)",197439.3369,421821.5184
경기도 수원시 장안구 파장동 594번지 3호,경기도 수원시 장안구 경수대로1043번길 8 (파장동),199707.0117,422822.5726
경기도 수원시장안구 조원동 776번지 9   호,경기도 수원시 장안구 송정로 128 (조원동),200913.5059,421564.503
경기도 수원시 권선구 세류동 1147번지 1호,경기도 수원시 권선구 정조로 430 (세류동),201136.9159,416182.0969
경기도 수원시장안구 송죽동 374번지 31호,경기도 수원시 장안구 송원로13번길 33 (송죽동),200252.7856,421761.2788
경기도 수원시장안구 조원동 742번지 4호,경기도 수원시 장안구 조원로 77 (조원동),201397.6965,422011.7746
경기도 수원시 장안구 조원1동 519번지 215호 3호,"경기도 수원시 장안구 조원로54번길 27, 1층 3호 (조원동)",201724.6587,421884.2742
경기도 수원시 장안구 조원동 851번지 1호 금남빌 1층상가,"경기도 수원시 장안구 금당로9번길 76 (조원동,금남빌 1층상가)",201101.0293,422456.9166
경기도 수원시 장안구 율전동 285번지 2호,"경기도 수원시 장안구 서부로 2139, 1층 1001~1002,1005~1011호 (율전동, 에스케이허브블루)",197415.8413,421942.3206
